Day,Level,Exercise,Sets,Reps/Duration,Total Time
Monday,Advanced,Pistol squat on Bosu ball,3 sets each leg,5-8 reps per leg,8-10 min
Monday,Advanced,One-legged plank with shoulder taps,3 sets each leg,30-45 sec per leg,8-12 min
Monday,Advanced,Single-leg hop to balance on unstable surface,3 sets each leg,5-8 hops + 3-5 sec hold,6-8 min
Tuesday,Advanced,Pistol squat on Bosu ball,3 sets each leg,6-9 reps per leg,8-10 min
Tuesday,Advanced,One-legged plank with shoulder taps,3 sets each leg,35-50 sec per leg,8-12 min
Tuesday,Advanced,Single-leg hop to balance on unstable surface,3 sets each leg,6-9 hops + 4-6 sec hold,6-8 min
Wednesday,Advanced,Pistol squat on Bosu ball,4 sets each leg,5-8 reps per leg,10-12 min
Wednesday,Advanced,One-legged plank with shoulder taps,4 sets each leg,30-45 sec per leg,10-15 min
Wednesday,Advanced,Single-leg hop to balance on unstable surface,4 sets each leg,5-8 hops + 3-5 sec hold,8-10 min
Thursday,Advanced,Pistol squat on Bosu ball,3 sets each leg,7-10 reps per leg,8-10 min
Thursday,Advanced,One-legged plank with shoulder taps,3 sets each leg,40-55 sec per leg,8-12 min
Thursday,Advanced,Single-leg hop to balance on unstable surface,3 sets each leg,7-10 hops + 5-7 sec hold,6-8 min
Friday,Advanced,Pistol squat on Bosu ball,4 sets each leg,6-9 reps per leg,10-12 min
Friday,Advanced,One-legged plank with shoulder taps,4 sets each leg,35-50 sec per leg,10-15 min
Friday,Advanced,Single-leg hop to balance on unstable surface,4 sets each leg,6-9 hops + 4-6 sec hold,8-10 min
Saturday,Advanced,Pistol squat on Bosu ball,3 sets each leg,8-12 reps per leg,8-10 min
Saturday,Advanced,One-legged plank with shoulder taps,3 sets each leg,45-60 sec per leg,8-12 min
Saturday,Advanced,Single-leg hop to balance on unstable surface,3 sets each leg,8-12 hops + 6-8 sec hold,6-8 min
Sunday,Advanced,Pistol squat on Bosu ball,2 sets each leg,5-8 reps per leg,6-8 min
Sunday,Advanced,One-legged plank with shoulder taps,2 sets each leg,30-45 sec per leg,6-10 min
Sunday,Advanced,Single-leg hop to balance on unstable surface,2 sets each leg,5-8 hops + 3-5 sec hold,4-6 min